"","Meshes","DIC","WAIC","time_taken","number_p","mean_sd"
"1","A",328.589815989617,325.505768506453,19.5159540176392,1126,0.341165730155549
"2","B",342.112042421145,344.767703259619,21.8009929656982,594,0.354616937743184
"3","C",346.594584165798,355.718251540654,27.9779500961304,843,0.378617030461575
"4","D",330.295551795686,326.014912957267,38.9484660625458,586,0.354909966915776
"5","E",342.12549311425,349.337823413474,1.30772509972254,3058,0.27656106003242
"6","F",343.402273343381,346.826197082385,18.3643608093262,842,0.355761534719718
